i	text	conf	left	top	width	height	block	par	line	word
4	pom	46	10	68	133	94	1	1	1	1
5	의	56	215	68	47	94	1	1	1	2
6	때	18	333	69	76	68	1	1	1	3
7	이	58	468	68	53	94	1	1	1	4
8	그	32	579	69	65	68	1	1	1	5
9	|	59	691	68	41	94	1	1	1	6
10	9	29	791	69	53	68	1	1	1	7
12	pose	53	10	628	141	94	1	1	2	1
13	의	68	215	628	47	94	1	1	2	2
14	0	52	286	629	76	68	1	1	2	3
15	의	46	468	628	53	94	1	1	2	4
16	제	43	579	629	59	68	1	1	2	5
17	이	62	685	628	53	94	1	1	2	6
18	08	34	762	628	164	94	1	1	2	7
20	이재	27	10	1188	158	94	1	1	3	1
21	의	69	215	1188	47	94	1	1	3	2
22	빠이	7	333	1188	188	94	1	1	3	3
23	그	29	579	1189	59	68	1	1	3	4
24	이	43	691	1188	47	94	1	1	3	5
25	ee	45	793	1188	133	94	1	1	3	6
